Feature_Name,Domain_Area,Data_Type,Null_Count,Unique_Values
BF_Cooling_Water_Temperature_roll_grad_5,Rolling Features,Float,0,50000
BF_Cooling_Water_Temperature_roll_avg_15,Rolling Features,Float,0,50000
BF_Cooling_Water_Temperature_roll_grad_15,Rolling Features,Float,0,50000
BF_Cooling_Water_Temperature_roll_avg_30,Rolling Features,Float,0,50000
BF_Cooling_Water_Temperature_roll_grad_30,Rolling Features,Float,0,50000
BF_Gas_Pressure_roll_avg_5,Rolling Features,Float,0,50000
BF_Gas_Pressure_roll_grad_5,Rolling Features,Float,0,50000
BF_Gas_Pressure_roll_avg_15,Rolling Features,Float,0,50000
BF_Gas_Pressure_roll_grad_15,Rolling Features,Float,0,50000
BF_Gas_Pressure_roll_avg_30,Rolling Features,Float,0,50000
BF_Gas_Pressure_roll_grad_30,Rolling Features,Float,0,50000
BF_H2_roll_avg_5,Rolling Features,Float,0,49995
BF_H2_roll_grad_5,Rolling Features,Float,0,49994
BF_H2_roll_avg_15,Rolling Features,Float,0,50000
BF_H2_roll_grad_15,Rolling Features,Float,0,50000
BF_H2_roll_avg_30,Rolling Features,Float,0,50000
BF_H2_roll_grad_30,Rolling Features,Float,0,50000
BF_Top_Pressure_roll_avg_5,Rolling Features,Float,0,50000
BF_Top_Pressure_roll_grad_5,Rolling Features,Float,0,50000
BF_Top_Pressure_roll_avg_15,Rolling Features,Float,0,50000
BF_Top_Pressure_roll_grad_15,Rolling Features,Float,0,50000
BF_Top_Pressure_roll_avg_30,Rolling Features,Float,0,50000
BF_Top_Pressure_roll_grad_30,Rolling Features,Float,0,50000
BF_Top_Temperature_roll_avg_5,Rolling Features,Float,0,48158
BF_Top_Temperature_roll_grad_5,Rolling Features,Float,0,48141
BF_Top_Temperature_roll_avg_15,Rolling Features,Float,0,49142
BF_Top_Temperature_roll_grad_15,Rolling Features,Float,0,49086
BF_Top_Temperature_roll_avg_30,Rolling Features,Float,0,49743
BF_Top_Temperature_roll_grad_30,Rolling Features,Float,0,49634
CO_CO_roll_avg_5,Rolling Features,Float,0,49776
CO_CO_roll_grad_5,Rolling Features,Float,0,49670
CO_CO_roll_avg_15,Rolling Features,Float,0,49887
CO_CO_roll_grad_15,Rolling Features,Float,0,49793
CO_CO_roll_avg_30,Rolling Features,Float,0,49924
CO_CO_roll_grad_30,Rolling Features,Float,0,49818
CO_Flue_Temperature_roll_avg_5,Rolling Features,Float,0,50000
CO_Flue_Temperature_roll_grad_5,Rolling Features,Float,0,50000
CO_Flue_Temperature_roll_avg_15,Rolling Features,Float,0,50000
CO_Flue_Temperature_roll_grad_15,Rolling Features,Float,0,50000
CO_Flue_Temperature_roll_avg_30,Rolling Features,Float,0,50000
CO_Flue_Temperature_roll_grad_30,Rolling Features,Float,0,50000
CO_Gas_Pressure_roll_avg_5,Rolling Features,Float,0,50000
CO_Gas_Pressure_roll_grad_5,Rolling Features,Float,0,50000
CO_Gas_Pressure_roll_avg_15,Rolling Features,Float,0,50000
CO_Gas_Pressure_roll_grad_15,Rolling Features,Float,0,50000
CO_Gas_Pressure_roll_avg_30,Rolling Features,Float,0,50000
CO_Gas_Pressure_roll_grad_30,Rolling Features,Float,0,50000
CO_NH3_roll_avg_5,Rolling Features,Float,0,49850
CO_NH3_roll_grad_5,Rolling Features,Float,0,49841
CO_NH3_roll_avg_15,Rolling Features,Float,0,49963
CO_NH3_roll_grad_15,Rolling Features,Float,0,49961
CO_NH3_roll_avg_30,Rolling Features,Float,0,49986
CO_NH3_roll_grad_30,Rolling Features,Float,0,49984
